"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 12 20:07:18 UTC 2026","Wed Aug 12 20:07:18 UTC 2026","3","tests","test_group_contract","TestGroupContract","","","test_create_group_anonym",""
"passed","Wed Aug 12 20:07:14 UTC 2026","Wed Aug 12 20:07:14 UTC 2026","277","tests","test_grades_stats","TestGradesStats","","","test_get_grades_stats_with_data",""
"passed","Wed Aug 12 20:07:22 UTC 2026","Wed Aug 12 20:07:22 UTC 2026","3","tests","test_teachers_contract","TestTeachersContract","","","test_post_teacher_anonym",""
"passed","Wed Aug 12 20:07:19 UTC 2026","Wed Aug 12 20:07:19 UTC 2026","116","tests","test_student_get","TestGetStudent","","","test_student_get",""
"passed","Wed Aug 12 20:07:18 UTC 2026","Wed Aug 12 20:07:18 UTC 2026","65","tests","test_student_create","TestStudent","","","test_student_create",""
"passed","Wed Aug 12 20:07:23 UTC 2026","Wed Aug 12 20:07:23 UTC 2026","9","tests","test_teachers_contract","TestTeachersContract","","","test_post_teacher_invalid_subject",""
"passed","Wed Aug 12 20:07:17 UTC 2026","Wed Aug 12 20:07:17 UTC 2026","10","tests","test_grades_stats","TestGradesStats","","","test_get_grades_stats_invalid_params",""
"passed","Wed Aug 12 20:07:12 UTC 2026","Wed Aug 12 20:07:13 UTC 2026","108","tests","test_crud_student","TestCrudStudent","","","test_delete_student",""
"passed","Wed Aug 12 20:07:16 UTC 2026","Wed Aug 12 20:07:16 UTC 2026","3","tests","test_grades_stats","TestGradesStats","","","test_get_grades_stats_anonym_forbidden",""
"passed","Wed Aug 12 20:07:11 UTC 2026","Wed Aug 12 20:07:11 UTC 2026","59","tests","test_crud_student","TestCrudStudent","","","test_create_student",""
"passed","Wed Aug 12 20:07:13 UTC 2026","Wed Aug 12 20:07:13 UTC 2026","115","tests","test_grades_stats","TestGradesStats","","","test_get_grades_stats_empty_for_new_student",""
"passed","Wed Aug 12 20:07:20 UTC 2026","Wed Aug 12 20:07:20 UTC 2026","12","tests","test_students_contract","TestGetStudentsContract","","","test_get_students_success",""
"passed","Wed Aug 12 20:07:10 UTC 2026","Wed Aug 12 20:07:10 UTC 2026","43","tests","test_crud_student","TestCrudStudent","","","test_create_group",""
"passed","Wed Aug 12 20:07:15 UTC 2026","Wed Aug 12 20:07:15 UTC 2026","386","tests","test_grades_stats","TestGradesStats","","","test_get_grades_stats_filter_by_group",""
"passed","Wed Aug 12 20:07:21 UTC 2026","Wed Aug 12 20:07:21 UTC 2026","3","tests","test_students_contract","TestGetStudentsContract","","","test_get_students_anonym",""
"passed","Wed Aug 12 20:07:12 UTC 2026","Wed Aug 12 20:07:12 UTC 2026","162","tests","test_crud_student","TestCrudStudent","","","test_update_student",""
"passed","Wed Aug 12 20:07:21 UTC 2026","Wed Aug 12 20:07:21 UTC 2026","13","tests","test_teachers_contract","TestTeachersContract","","","test_post_teachers_success",""
